"start";"end";"Als deutschlandweite TEN SING Programmgruppe wollen wir es genau wissen: Wer sind wir bei TEN SING und wie viele? Was beschäftigt euch in den Ortsgruppen und wo können wir unterstützen? Um das herauszufinden, gibt es zwei Fragebögen:";"(1) Diesen, der einmal für die ganze Ortsgruppe ausgefüllt werden sollte (z.B. von jemandem aus dem Leitungsteam): [https://ogy.de/TENSINGortsgruppe]( https://ogy.de/TENSINGortsgruppe)";"(2) Ein Teilnehmendenfragebogen, den alle Teilnehmenden für sich ausfüllen sollen. Bitte schickt dafür diesen Link an alle aus eurer Ortsgruppe: [https://ogy.de/TENSINGteilnehmende]( https://ogy.de/TENSINGteilnehmende)";"Die Umfrage wird 2024 zum ersten Mal durchgeführt und soll ab jetzt einmal pro Jahr kommen. Der Fragebogen wurde aufgrund des Feedbacks von TEN SINGenden aus ganz Deutschland im Rahmen von Fokusgruppen entwickelt. So können wir in einigen Jahren auch sehen, wie sich TEN SING entwickelt. Die Umfrage erfolgt selbstverständlich anonym und kann nicht auf einzelne Teilnehmende zurückverfolgt werden. Auf Wunsch können alle Teilnehmenden die Gesamtauswertungen einsehen.";"Wir freuen uns auf euren Input! Wir werden ihn nutzen, um euch noch besser zu unterstützen – zum Beispiel mit bundesweiten Veranstaltungen, Arbeitshilfen, zusätzlichen Spenden oder ganz anderes…";"Viele Grüße, eure Programmgruppe";"An welchen Tagen finden in einer normalen Schulwoche bei euch TEN SING Veranstaltungen statt?";"Wie viele Stunden trefft ihr euch Montags?";"Wie viele Stunden trefft ihr euch Dienstags?";"Wie viele Stunden trefft ihr euch Mittwochs?";"Wie viele Stunden trefft ihr euch Donnerstags?";"Wie viele Stunden trefft ihr euch Freitags?";"Wie viele Stunden trefft ihr euch Samstags?";"Wie viele Stunden trefft ihr euch Sonntags?";"Wie viele Auftritte (z. B. Show, Auftritte in Gottesdiensten) hatte eure Gruppe im letzten Schuljahr?";"Welche Workshops werden bei euch vor Ort angeboten?";"Gibt es bei euch vor Ort eine:n hauptberufliche:n Mitarbeiter:in, der für TEN SING zuständig ist?";"Wie viele Stunden hat (/haben) die Person(en) insgesamt pro Woche für eure TEN SING Gruppe?";"Mitarbeitende (inkl. Leitung):";"Teilnehmende:";"Wie viele Personen identifizieren sich als:";"**Geschlecht:**";"**Mitarbeitende (inkl. Leitung)**";"**Teilnehmende**";"##### Divers";"<span style=""display:none"">divers_1-Mitarbeitende (inkl. Leitung)</span>";"<span style=""display:none"">divers_1-Teilnehmende</span>";"##### Männlich";"<span style=""display:none"">mann_1-Mitarbeitende (inkl. Leitung)</span>";"<span style=""display:none"">mann_1-Teilnehmende</span>";"##### Weiblich";"<span style=""display:none"">frau_1-Mitarbeitende (inkl. Leitung)</span>";"<span style=""display:none"">frau_1-Teilnehmende</span>";"Wie viele Personen gehören zu welchen Altersgruppen?";"**Alter:**";"**Mitarbeitende (inkl. Leitung)**";"**Teilnehmende**";"##### Bis 13 Jahre";"<span style=""display:none"">bis13_1-Mitarbeitende (inkl. Leitung)</span>";"<span style=""display:none"">bis13_1-Teilnehmende</span>";"##### 14-17 Jahre";"<span style=""display:none"">14bis17_1-Mitarbeitende (inkl. Leitung)</span>";"<span style=""display:none"">14bis17_1-Teilnehmende</span>";"##### 18 bis 19 Jahre";"<span style=""display:none"">18bis19_1-Mitarbeitende (inkl. Leitung)</span>";"<span style=""display:none"">18bis19_1-Teilnehmende</span>";"##### 20 Jahre und älter";"<span style=""display:none"">20und_1-Mitarbeitende (inkl. Leitung)</span>";"<span style=""display:none"">20und_1-Teilnehmende</span>";"Gibt es bei euch vor Ort gerade Probleme neue Teilnehmende zu finden?";"Welche Maßnahmen setzt ihr vor Ort ein, um neue Teilnehmende zu finden?";"Sonstige";"Wie erfolgreich sind eure Maßnahmen zu Gewinnung von neuen Teilnehmenden?";"Insgesamt";"Werbung bei unseren Veranstaltungen und Vorführungen";"Werbung bei Veranstaltungen der Kirchengemeinde";"Schulprojekte (z. B. Projektwochen)";"Schnupperproben";"Werbung auf Social Media";"Freunde und Bekannte ansprechen";"Sonstige";"Hier aufgeführt sind die meist genannten Bedarfe:";"Angebot von  deutschlandweiten Seminaren / Workshops";"Öffentlichkeitsarbeit / Social Media";"Einheitliche Kommunikations- und Cloudspeicher-Plattform";"Schulung von Teamern / Ehrenamtlichen";"Austausch von Chorsätzen";"Standpunkte bzw. Hilfestellungen zu bestimmten Themen (z. B. Diversity)";"Gewinnung von neuen Teilnehmenden";"Internationale Zusammenarbeit";"Gibt es weiteren Unterstützungsbedarf, der bisher nicht genannt wurde? Wenn ja, kannst du diesen gerne nachfolgend aufführen:";"In welcher Region liegt deine Ortsgruppe?";"Wie heißt deine Ortsgruppe?";"Bitte denke auch noch einmal daran, die zweite Umfrage an alle Mitglieder deiner Ortsgruppe zu senden, falls du das noch nicht getan hast. Hier noch einmal der Link: [https://ogy.de/TENSINGteilnehmende](https://ogy.de/TENSINGteilnehmende)";"_id";"_uuid";"_submission_time";"_validation_status";"_notes";"_status";"_submitted_by";"__version__";"_tags";"_index"
"2024-10-25T21:35:32.275+02:00";"2024-10-25T21:41:16.428+02:00";"";"";"";"";"";"";"Donnerstag";"";"";"";"2";"";"";"";"1";"Chor Tanz Theater";"Nein";"";"3";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";"";"2";"";"";"1";"";"";"";"";"Ja, sehr große Probleme";"Werbung bei unseren Veranstaltungen und Vorführungen Freunde und Bekannte ansprechen Sonstige";"";"";"2";"2";"";"";"";"";"3";"4";"";"Eher nein";"Eher ja";"Eher nein";"Ja";"Bin mir unsicher";"Eher ja";"Bin mir unsicher";"Eher nein";"";"Ostwerk";"Zeuthen";"";"614653252";"8701800c-d044-4784-ba80-a847367aaaf4";"2024-10-25T19:41:16";"";"";"submitted_via_web";"";"vJaqi7btqbxDSeWRLwTyBk";"";"11"
"2024-10-27T08:34:53.468+01:00";"2024-10-27T08:42:09.316+01:00";"";"";"";"";"";"";"Montag Samstag";"2";"";"";"";"";"2";"";"1";"Chor Solo-Gesang Tanz Orga Technik Band Theater";"Nein";"";"9";"";"";"";"";"";"";"";"";"";"5";"";"";"10";"";"";"";"";"";"";"";"";"";"6";"";"";"1";"";"";"8";"";"Ja, sehr große Probleme";"Werbung bei unseren Veranstaltungen und Vorführungen Werbung auf Social Media (z. B. Instagram, TikTok) Freunde und Bekannte ansprechen Sonstige";"Werbeaktionen bei Stadtfesten";"";"2";"2";"";"";"";"2";"3";"3";"";"Ja";"Ja";"Ja";"Ja";"Ja";"Ja";"Ja";"Eher ja";"";"Niederrhein und Bergischland-Ruhrgebiet (BLRG)";"Ten Sing Moers";"";"614906418";"6b0309be-d06f-4afa-9a7d-f84652bf2ba7";"2024-10-27T07:42:09";"";"";"submitted_via_web";"";"vJaqi7btqbxDSeWRLwTyBk";"";"12"
"2024-11-04T19:43:35.518+01:00";"2024-11-04T20:12:02.446+01:00";"";"";"";"";"";"";"Freitag";"";"";"";"";"3";"";"";"4";"Chor Tanz Technik Band Kreativ Theater";"Nein";"";"8";"";"";"";"";"";"";"1";"";"";"3";"9";"";"4";"9";"";"";"";"";"";"";"3";"";"1";"6";"";"1";"2";"";"6";"5";"Ja, sehr große Probleme";"Werbung bei unseren Veranstaltungen und Vorführungen Werbung bei Veranstaltungen der Kirchengemeinde (z. B. Veranstaltungen in der Konfirmandenarbeit) Werbung auf Social Media (z. B. Instagram, TikTok) Freunde und Bekannte ansprechen";"";"";"3";"2";"3";"";"";"Gar nicht erfolgreich (1)";"5";"";"";"Bin mir unsicher";"Ja";"Nein";"Eher ja";"Nein";"Eher ja";"Ja";"Bin mir unsicher";"";"Ostwestfalen-Lippe";"TEN SING Lübbecke";"";"617307250";"188a62dd-90dc-42f9-ab70-1624ea680201";"2024-11-04T19:12:03";"";"";"submitted_via_web";"";"vJaqi7btqbxDSeWRLwTyBk";"";"13"
"2024-11-06T20:05:47.507+01:00";"2024-11-06T20:10:04.492+01:00";"";"";"";"";"";"";"Montag";"2";"";"";"";"";"";"";"0";"Chor Tanz Medien Band Theater";"Nein";"";"4";"";"";"";"";"";"";"";"";"";"1";"";"";"9";"";"";"";"";"";"";"0";"";"";"4";"";"";"0";"";"";"6";"";"Ja, sehr große Probleme";"Schulprojekte (z. B. Projektwochen) Werbung auf Social Media (z. B. Instagram, TikTok) Freunde und Bekannte ansprechen";"";"";"3";"";"";"2";"";"2";"4";"";"";"Eher ja";"Ja";"Eher ja";"Eher ja";"Ja";"Eher nein";"Ja";"Ja";"";"Thüringen";"TENSING Erfurt";"";"618069220";"330d1504-da38-44d1-9bc7-2641ad634b24";"2024-11-06T19:10:05";"";"";"submitted_via_web";"";"vJaqi7btqbxDSeWRLwTyBk";"";"14"
"2024-11-07T10:23:11.946+01:00";"2024-11-07T10:32:42.862+01:00";"";"";"";"";"";"";"Freitag";"";"";"";"";"3";"";"";"0";"Solo-Gesang Band Theater";"Nein";"";"3";"";"";"";"";"";"";"1";"";"";"2";"2";"";"1";"3";"";"";"";"";"";"";"";"";"";"2";"";"2";"4";"";"1";"";"Ja, sehr große Probleme";"Werbung bei unseren Veranstaltungen und Vorführungen";"";"";"3";"3";"";"";"";"";"";"";"";"Eher nein";"Eher ja";"Eher nein";"Eher nein";"Eher nein";"Nein";"Ja";"Nein";"";"Ostwestfalen-Lippe";"Münster";"";"618229255";"47ffc595-e41a-4b2a-b00c-a5f937229d4b";"2024-11-07T09:32:43";"";"";"submitted_via_web";"";"vJaqi7btqbxDSeWRLwTyBk";"";"15"
"2024-11-13T08:53:06.610+01:00";"2024-11-13T08:56:11.574+01:00";"";"";"";"";"";"";"Montag";"2.5";"";"";"";"";"";"";"1";"Chor Tanz Theater";"Nein";"";"4";"";"";"";"";"";"";"0";"0";"";"3";"1";"";"1";"5";"";"";"";"";"";"0";"0";"";"0";"4";"";"1";"0";"";"3";"2";"Ja, sehr große Probleme";"Werbung bei unseren Veranstaltungen und Vorführungen Werbung bei Veranstaltungen der Kirchengemeinde (z. B. Veranstaltungen in der Konfirmandenarbeit) Freunde und Bekannte ansprechen";"";"";"Gar nicht erfolgreich (1)";"Gar nicht erfolgreich (1)";"2";"";"";"";"2";"";"";"Ja";"Eher ja";"Eher ja";"Eher ja";"Ja";"Eher nein";"Ja";"Ja";"";"Thüringen";"Rudolstadt";"";"620452194";"9aa4b513-81fb-483e-a11a-cfaa839af409";"2024-11-13T07:56:12";"";"";"submitted_via_web";"";"vJaqi7btqbxDSeWRLwTyBk";"";"16"
"2024-11-13T09:11:06.253+01:00";"2024-11-13T09:16:11.546+01:00";"";"";"";"";"";"";"Donnerstag";"";"";"";"2";"";"";"";"1";"Chor Tanz Band Theater";"Nein";"";"3";"";"";"";"";"";"";"1";"1";"";"";"2";"";"2";"6";"";"";"";"";"";"0";"1";"";"2";"6";"";"1";"2";"";"";"";"Ja, sehr große Probleme";"Werbung bei unseren Veranstaltungen und Vorführungen Freunde und Bekannte ansprechen Sonstige";"";"";"3";"3";"";"";"";"";"4";"4";"";"Eher ja";"Eher ja";"Eher nein";"Eher ja";"Ja";"Ja";"Ja";"Eher ja";"";"Ostwerk";"Zeuthen";"";"620458260";"5555cd47-5345-45fb-82ba-d82ec1d6cef5";"2024-11-13T08:14:29";"";"";"submitted_via_web";"";"vJaqi7btqbxDSeWRLwTyBk";"";"17"
"2024-11-13T09:34:40.238+01:00";"2024-11-13T09:39:55.671+01:00";"";"";"";"";"";"";"Freitag";"";"";"";"";"2.5";"";"";"1";"Chor Tanz Orga Band Theater";"Weiß ich nicht";"";"6";"";"";"";"";"";"";"2";"";"";"5";"";"";"2";"";"";"";"";"";"";"0";"";"";"2";"";"";"4";"";"";"3";"";"Ja, sehr große Probleme";"Schulprojekte (z. B. Projektwochen) Schnupperproben";"";"";"3";"";"";"3";"3";"";"";"";"";"Eher ja";"Ja";"Ja";"Ja";"Ja";"Ja";"Ja";"Eher ja";"";"Ostwerk";"Tensing Brandenburg";"";"620465605";"043a3762-d9d6-4c99-82dd-62b9b8d632ba";"2024-11-13T08:39:55";"";"";"submitted_via_web";"";"vJaqi7btqbxDSeWRLwTyBk";"";"18"
"2024-11-14T20:05:24.012+01:00";"2024-11-14T20:24:31.420+01:00";"";"";"";"";"";"";"Montag Mittwoch Donnerstag Freitag";"2";"";"1.5";"1.5";"2";"";"";"3";"Chor Tanz Medien Technik Band Theater";"Nein";"";"6";"";"";"";"";"";"";"1";"0";"";"4";"8";"";"1";"24";"";"";"";"";"";"0";"3";"";"3";"25";"";"1";"3";"";"2";"1";"Nein";"Werbung bei unseren Veranstaltungen und Vorführungen Werbung bei Veranstaltungen der Kirchengemeinde (z. B. Veranstaltungen in der Konfirmandenarbeit) Schnupperproben Werbung auf Social Media (z. B. Instagram, TikTok) Freunde und Bekannte ansprechen";"";"";"4";"2";"5";"";"3";"3";"Sehr erfolgreich (6)";"";"";"Eher nein";"Nein";"Nein";"Eher ja";"Bin mir unsicher";"Nein";"Eher ja";"Ja";"Mehr finanzielle Unterstützung";"Nord";"Augustfehn Apen";"";"620996313";"594debcf-3674-4ff7-a3f5-3ff873798b79";"2024-11-14T19:24:30";"";"";"submitted_via_web";"";"vJaqi7btqbxDSeWRLwTyBk";"";"19"
"2024-11-17T18:39:11.972+01:00";"2024-11-17T18:46:25.838+01:00";"";"";"";"";"";"";"Freitag";"";"";"";"";"3";"";"";"1";"Chor Tanz Orga Technik Band Theater";"Ja";"6";"8";"";"";"";"";"";"";"";"";"";"5";"7";"";"3";"13";"";"";"";"";"";"";"";"";"1";"10";"";"1";"1";"";"6";"9";"Ja, aber nur phasenweise";"Werbung bei unseren Veranstaltungen und Vorführungen Werbung auf Social Media (z. B. Instagram, TikTok) Freunde und Bekannte ansprechen";"";"";"2";"4";"";"";"";"2";"2";"";"";"Bin mir unsicher";"Eher nein";"Bin mir unsicher";"Eher nein";"Eher ja";"Eher nein";"Eher ja";"Bin mir unsicher";"";"Nord";"Bremen";"";"621609862";"11d95885-9df1-4306-b23b-583fcf835cfc";"2024-11-17T17:46:26";"";"";"submitted_via_web";"";"vJaqi7btqbxDSeWRLwTyBk";"";"20"
"2024-11-18T17:26:55.994+01:00";"2024-11-18T17:39:52.619+01:00";"";"";"";"";"";"";"Montag";"1.5";"";"";"";"";"";"";"4";"Chor Solo-Gesang Tanz Orga Band Theater Dirigieren / Chorleitung andere Workshops";"Ja";"10";"6";"";"";"";"";"";"";"0";"";"";"4";"";"";"17";"";"";"";"";"";"";"2";"";"";"13";"";"";"0";"";"";"7";"";"Ja, aber nur phasenweise";"Werbung bei unseren Veranstaltungen und Vorführungen Werbung bei Veranstaltungen der Kirchengemeinde (z. B. Veranstaltungen in der Konfirmandenarbeit) Schnupperproben Werbung auf Social Media (z. B. Instagram, TikTok) Freunde und Bekannte ansprechen Sonstige";"";"";"3";"Sehr erfolgreich (6)";"5";"";"Sehr erfolgreich (6)";"5";"4";"Sehr erfolgreich (6)";"";"Nein";"Eher ja";"Eher ja";"Eher nein";"Ja";"Eher nein";"Eher ja";"Eher ja";"";"Sachsen";"Dresden";"";"621878875";"7467150f-0737-498b-b9fa-f21b2f2367f0";"2024-11-18T16:39:53";"";"";"submitted_via_web";"";"vJaqi7btqbxDSeWRLwTyBk";"";"21"
"2024-11-18T21:56:19.252+01:00";"2024-11-18T22:01:51.894+01:00";"";"";"";"";"";"";"Donnerstag";"";"";"";"2.5";"";"";"";"12";"Chor Tanz Band Theater";"Ja";"";"12";"";"";"";"";"";"";"0";"";"";"14";"";"";"15";"";"";"";"";"";"";"3";"";"";"15";"";"";"8";"";"";"3";"";"Ja, aber nur phasenweise";"Werbung bei unseren Veranstaltungen und Vorführungen Freunde und Bekannte ansprechen";"";"";"";"";"";"";"";"";"";"";"";"Bin mir unsicher";"Eher ja";"Bin mir unsicher";"Eher ja";"Eher ja";"Eher ja";"Ja";"Ja";"";"";"Ten Sing Frankfurt Oder";"";"621924220";"18c692ca-d1ef-4278-96ff-2499deafb9ce";"2024-11-18T21:01:52";"";"";"submitted_via_web";"";"vJaqi7btqbxDSeWRLwTyBk";"";"22"
"2024-11-20T16:46:20.268+01:00";"2024-11-20T16:51:48.532+01:00";"";"";"";"";"";"";"Donnerstag";"";"";"";"2";"";"";"";"3";"Chor Solo-Gesang Tanz Orga Technik Band Theater Dirigieren / Chorleitung";"Ja";"5";"14";"";"";"";"";"";"";"10";"";"";"";"";"";"";"5";"";"";"";"";"";"0";"";"";"6";"";"";"Keine Ahnung";"";"";"Keine Ahnung";"";"Nein";"Werbung bei unseren Veranstaltungen und Vorführungen Werbung bei Veranstaltungen der Kirchengemeinde (z. B. Veranstaltungen in der Konfirmandenarbeit) Werbung auf Social Media (z. B. Instagram, TikTok) Freunde und Bekannte ansprechen";"";"";"Sehr erfolgreich (6)";"Sehr erfolgreich (6)";"Sehr erfolgreich (6)";"";"";"Sehr erfolgreich (6)";"";"";"";"Nein";"Nein";"Nein";"Nein";"Nein";"Nein";"Nein";"Nein";"";"Ostwestfalen-Lippe";"Gütersloh";"";"622503784";"d31cf7ca-2a6e-47eb-aa03-f62f1079eeab";"2024-11-20T15:51:49";"";"";"submitted_via_web";"";"vJaqi7btqbxDSeWRLwTyBk";"";"23"
"2024-11-20T17:03:39.464+01:00";"2024-11-20T17:11:55.097+01:00";"";"";"";"";"";"";"Mittwoch";"";"";"3";"";"";"";"";"2";"Band Theater";"Nein";"";"2";"";"";"";"";"";"";"0";"3";"";"1";"2";"";"1";"10";"";"";"";"";"";"0";"1";"";"1";"14";"";"1";"0";"";"0";"0";"Ja, sehr große Probleme";"Werbung bei unseren Veranstaltungen und Vorführungen Werbung bei Veranstaltungen der Kirchengemeinde (z. B. Veranstaltungen in der Konfirmandenarbeit) Werbung auf Social Media (z. B. Instagram, TikTok) Freunde und Bekannte ansprechen";"";"2";"3";"2";"3";"";"";"2";"5";"";"";"Ja";"Ja";"Ja";"Ja";"Bin mir unsicher";"Eher ja";"Bin mir unsicher";"Ja";"";"";"Ten Sing Borken";"";"622511728";"6e3a4675-b79a-43d9-87d7-006fabeb4f5a";"2024-11-20T16:11:55";"";"";"submitted_via_web";"";"vJaqi7btqbxDSeWRLwTyBk";"";"24"
"2024-11-21T22:11:22.566+01:00";"2024-11-21T23:01:35.529+01:00";"";"";"";"";"";"";"Donnerstag";"";"";"";"2";"";"";"";"1";"Chor Tanz Band Theater";"Ja";"2";"1";"";"";"";"";"";"";"";"";"";"5";"";"";"7";"";"";"";"";"";"";"";"";"";"9";"";"";"3";"";"";"1";"";"Ja, sehr große Probleme";"Werbung bei unseren Veranstaltungen und Vorführungen Werbung bei Veranstaltungen der Kirchengemeinde (z. B. Veranstaltungen in der Konfirmandenarbeit) Schulprojekte (z. B. Projektwochen) Werbung auf Social Media (z. B. Instagram, TikTok)";"";"";"2";"";"2";"4";"";"Gar nicht erfolgreich (1)";"";"";"";"Nein";"Eher ja";"Eher nein";"Eher ja";"Eher ja";"Eher nein";"Ja";"Eher nein";"";"Sachsen";"Zittau";"";"622943870";"d73256f8-1bff-48c6-a3d9-bff1a2a7c6e9";"2024-11-21T22:01:36";"";"";"submitted_via_web";"";"vJaqi7btqbxDSeWRLwTyBk";"";"25"
"2024-11-22T16:44:20.264+01:00";"2024-11-22T17:09:19.041+01:00";"";"";"";"";"";"";"Freitag";"";"";"";"";"2.5";"";"";"5";"Tanz Band Theater andere Workshops";"Ja";"4";"10";"";"";"";"";"";"";"0";"1";"";"4";"5";"";"9";"11";"";"";"";"";"";"0";"1";"";"4";"9";"";"2";"2";"";"7";"3";"Nein";"Werbung bei unseren Veranstaltungen und Vorführungen Werbung bei Veranstaltungen der Kirchengemeinde (z. B. Veranstaltungen in der Konfirmandenarbeit) Schnupperproben Werbung auf Social Media (z. B. Instagram, TikTok) Freunde und Bekannte ansprechen";"";"";"4";"4";"4";"";"3";"3";"3";"";"";"Ja";"Ja";"Ja";"Ja";"Ja";"Ja";"Ja";"Ja";"";"Hessen";"Homberg (Efze)";"";"623145211";"435be7a8-ade8-4ead-830a-2f288f36d89e";"2024-11-22T16:09:19";"";"";"submitted_via_web";"";"vJaqi7btqbxDSeWRLwTyBk";"";"26"
"2024-11-22T20:11:38.855+01:00";"2024-11-22T20:38:07.118+01:00";"";"";"";"";"";"";"Freitag";"";"";"";"";"3";"";"";"4";"Band Theater";"Nein";"";"6";"";"";"";"";"";"";"";"";"";"4";"4";"";"5";"9";"";"";"";"";"";"";"";"";"2";"9";"";"6";"1";"";"1";"";"Ja, aber nur phasenweise";"Werbung bei unseren Veranstaltungen und Vorführungen Werbung bei Veranstaltungen der Kirchengemeinde (z. B. Veranstaltungen in der Konfirmandenarbeit) Schnupperproben Freunde und Bekannte ansprechen";"";"";"3";"Gar nicht erfolgreich (1)";"Gar nicht erfolgreich (1)";"";"2";"";"4";"";"";"Eher nein";"Ja";"Nein";"Eher nein";"Nein";"Nein";"Ja";"Nein";"Hauptamtliche, die sich um Pirna kümmern (Gemeindepedagogen (die regelmäßig teilnehmen))";"Sachsen";"TenSing Pirna";"";"623189183";"fbecd76f-a528-459a-b188-d3fb2e6e0349";"2024-11-22T19:38:08";"";"";"submitted_via_web";"";"vJaqi7btqbxDSeWRLwTyBk";"";"27"
"2024-11-25T18:52:22.124+01:00";"2024-11-25T19:08:41.149+01:00";"";"";"";"";"";"";"Montag";"2";"";"";"";"";"";"";"12";"Chor Tanz Orga Medien Technik Band Theater Dirigieren / Chorleitung andere Workshops";"Ja";"7";"10";"";"";"";"";"";"";"0";"2";"";"2";"4";"";"8";"20";"";"";"";"";"";"0";"11";"";"7";"15";"";"0";"0";"";"3";"1";"Nein";"Werbung bei unseren Veranstaltungen und Vorführungen Werbung bei Veranstaltungen der Kirchengemeinde (z. B. Veranstaltungen in der Konfirmandenarbeit) Schulprojekte (z. B. Projektwochen) Schnupperproben Werbung auf Social Media (z. B. Instagram, TikTok) Freunde und Bekannte ansprechen";"";"";"5";"3";"4";"5";"Sehr erfolgreich (6)";"2";"Sehr erfolgreich (6)";"";"";"Eher ja";"Nein";"Nein";"Nein";"Nein";"Eher nein";"Ja";"Eher ja";"Materialien-Cloud (nicht für Chorsätze, sondern Wissensaustausch); Chorleiter-WS Tage";"Thüringen";"Zeulenroda";"";"623921643";"1375a9b6-7525-41a1-9541-d75b470b44d7";"2024-11-25T18:08:41";"";"";"submitted_via_web";"";"vJaqi7btqbxDSeWRLwTyBk";"";"28"
"2024-11-27T20:19:46.704+01:00";"2024-11-27T23:16:13.661+01:00";"";"";"";"";"";"";"Freitag";"";"";"";"";"3";"";"";"2";"Chor Tanz Band Kreativ Theater Dirigieren / Chorleitung";"Ja";"5";"10";"";"";"";"";"";"";"0";"0";"";"8";"9";"";"2";"18";"";"";"";"";"";"0";"0";"";"0";"9";"";"3";"16";"";"7";"2";"Ja, aber nur phasenweise";"Werbung bei unseren Veranstaltungen und Vorführungen Werbung bei Veranstaltungen der Kirchengemeinde (z. B. Veranstaltungen in der Konfirmandenarbeit) Schnupperproben Werbung auf Social Media (z. B. Instagram, TikTok) Freunde und Bekannte ansprechen";"";"";"4";"5";"4";"";"2";"2";"4";"";"";"Ja";"Eher ja";"Eher ja";"Eher ja";"Eher nein";"Eher ja";"Ja";"Ja";"";"Niederrhein und Bergischland-Ruhrgebiet (BLRG)";"Burgaltendorf";"";"624599335";"4b95b850-dcc7-42d8-98c2-6f144e02d289";"2024-11-27T22:16:12";"";"";"submitted_via_web";"";"vJaqi7btqbxDSeWRLwTyBk";"";"29"
"2024-12-02T19:24:43.990+01:00";"2024-12-02T19:32:27.008+01:00";"";"";"";"";"";"";"Dienstag Donnerstag";"";"1.5";"";"3";"";"";"";"3";"Chor Tanz Orga Medien Technik Band Kreativ Theater";"Ja";"";"8";"";"";"";"";"";"";"";"4";"";"4";"8";"";"4";"8";"";"";"";"";"";"0";"0";"";"2";"17";"";"2";"3";"";"4";"0";"Ja, aber nur phasenweise";"Werbung bei unseren Veranstaltungen und Vorführungen Werbung bei Veranstaltungen der Kirchengemeinde (z. B. Veranstaltungen in der Konfirmandenarbeit) Werbung auf Social Media (z. B. Instagram, TikTok) Freunde und Bekannte ansprechen Sonstige";"";"";"4";"5";"4";"";"";"2";"4";"5";"";"Ja";"Ja";"Ja";"Ja";"Ja";"Eher ja";"Ja";"Eher nein";"";"Hessen";"Eschwege";"";"625793013";"ff472d63-156f-4e4f-a8fe-6a1a0f233912";"2024-12-02T18:32:27";"";"";"submitted_via_web";"";"vJaqi7btqbxDSeWRLwTyBk";"";"30"
"2024-12-03T17:44:56.420+01:00";"2024-12-03T17:52:53.711+01:00";"";"";"";"";"";"";"Dienstag";"";"3";"";"";"";"";"";"1";"Chor Tanz Theater";"Ja";"0";"5";"";"";"";"";"";"";"1";"";"";"3";"";"";"11";"";"";"";"";"";"";"0";"";"";"10";"";"";"3";"";"";"2";"";"Ja, sehr große Probleme";"Werbung bei unseren Veranstaltungen und Vorführungen Werbung bei Veranstaltungen der Kirchengemeinde (z. B. Veranstaltungen in der Konfirmandenarbeit) Schnupperproben Werbung auf Social Media (z. B. Instagram, TikTok) Freunde und Bekannte ansprechen";"";"";"2";"3";"Gar nicht erfolgreich (1)";"";"2";"Gar nicht erfolgreich (1)";"Gar nicht erfolgreich (1)";"";"";"Eher nein";"Nein";"Eher ja";"Bin mir unsicher";"Ja";"Nein";"Nein";"Nein";"";"Nord";"Moormerland";"";"626052690";"a79f2582-9f59-4bc7-af5f-4fd508e940cc";"2024-12-03T16:52:55";"";"";"submitted_via_web";"";"vJaqi7btqbxDSeWRLwTyBk";"";"31"
"2024-12-05T12:54:38.090+01:00";"2024-12-05T12:57:41.580+01:00";"";"";"";"";"";"";"Sonntag";"";"";"";"";"";"";"2";"2";"Chor Solo-Gesang Band Dirigieren / Chorleitung andere Workshops";"Nein";"";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Ja, sehr große Probleme";"Werbung bei unseren Veranstaltungen und Vorführungen Werbung bei Veranstaltungen der Kirchengemeinde (z. B. Veranstaltungen in der Konfirmandenarbeit) Werbung auf Social Media (z. B. Instagram, TikTok) Freunde und Bekannte ansprechen Sonstige";"";"";"Gar nicht erfolgreich (1)";"Gar nicht erfolgreich (1)";"Gar nicht erfolgreich (1)";"";"";"Gar nicht erfolgreich (1)";"Gar nicht erfolgreich (1)";"Gar nicht erfolgreich (1)";"";"";"";"";"";"";"";"";"";"";"Süden";"Ten Sing Umme";"";"626527612";"55c0abea-de69-4178-86ec-a9d5f1af777d";"2024-12-05T11:57:41";"";"";"submitted_via_web";"";"vJaqi7btqbxDSeWRLwTyBk";"";"32"
