og_region,slug
Ostwerk,ostwerk
Nord,nord
Niederrhein,niederrhein
Bergischland-Ruhrgebiet (BLRG),blrg
Sachsen,sachsen
Thüringen,thueringen
Hessen,hessen
Ostwestfalen-Lippe,owl
Süden,sueden
