name,type,$kuid,$qpath,col_name,$autoname,label,required,select_from_list_name,relevant,_isRepeat,appearance,kobo--matrix_list,hint,$given_name
angebote_vor_ort,select_multiple,ODbMLK2Hm,group_ty7hp15-angebote_vor_ort,group_ty7hp15/angebote_vor_ort,angebote_vor_ort,Welche Workshops werden bei euch vor Ort angeboten?,FALSE,vj9by53,NA,NA,NA,NA,,NA
F4_Hauptamt,select_one,vzP05uCHI,group_ty7hp15-F4_Hauptamt,group_ty7hp15/F4_Hauptamt,F4_Hauptamt,"Gibt es bei euch vor Ort eine:n hauptberufliche:n Mitarbeiter:in, der für TEN SING zuständig ist?",FALSE,ra07e45,NA,NA,NA,NA,,NA
Hauptamt_Wochenstunden,decimal,xp0kf22,group_ty7hp15-Hauptamt_Wochenstunden,group_ty7hp15/Hauptamt_Wochenstunden,Hauptamt_Wochenstunden,Wie viele Stunden hat (/haben) die Person(en) insgesamt pro Woche für eure TEN SING Gruppe?,FALSE,NA,${F4_Hauptamt} = 'Ja_Vollzeit',NA,NA,NA,,NA
NA,end_group,/wb1fs44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
group_jx3lf36,begin_group,ey4ol61,group_jx3lf36,group_jx3lf36,group_jx3lf36,Wie viele Personen waren bei euch vor Ort durchschnittlich im letzten Schuljahr aktiv?,NA,NA,NA,NA,NA,NA,,NA
NA,decimal,rs3ae38,group_jx3lf36-Mitarbeitende_inkl_Leitung,group_jx3lf36/Mitarbeitende_inkl_Leitung,Mitarbeitende_inkl_Leitung,Mitarbeitende (inkl. Leitung):,FALSE,NA,NA,NA,NA,NA,,NA
NA,decimal,nc7hl05,group_jx3lf36-Teilnehmende_002,group_jx3lf36/Teilnehmende_002,Teilnehmende_002,Teilnehmende:,FALSE,NA,NA,NA,NA,NA,,NA
NA,end_group,/ey4ol61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
group_zv42z01,begin_group,rb6ba32,group_zv42z01,group_zv42z01,group_zv42z01,Bitte macht nachfolgend zu den Personen in der Leitung und den Teilnehmenden nähere Angaben (es reichen auch ungefähre Angaben):,NA,NA,NA,NA,NA,NA,,NA
NA,note,xb7kk36,group_zv42z01-Wie_viele_Personen_i_ntifizieren_sich_als,group_zv42z01/Wie_viele_Personen_i_ntifizieren_sich_als,Wie_viele_Personen_i_ntifizieren_sich_als,Wie viele Personen identifizieren sich als:,FALSE,NA,NA,NA,NA,NA,,NA
group_fq52x56,begin_kobomatrix,tq09y40,group_zv42z01-group_fq52x56,group_zv42z01/group_fq52x56,group_fq52x56,Geschlecht:,NA,NA,NA,false,field-list,matrix_sv3gv00,,NA
mitarbeitende,integer,cu2fq02,group_zv42z01-mitarbeitende,group_zv42z01/mitarbeitende,mitarbeitende,Mitarbeitende (inkl. Leitung),FALSE,NA,NA,NA,w1,NA,,NA
teilnehmende,integer,rn3vz48,group_zv42z01-teilnehmende,group_zv42z01/teilnehmende,teilnehmende,Teilnehmende,FALSE,NA,NA,NA,w1,NA,,NA
NA,end_kobomatrix,/tq09y40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
NA,note,eg6ne18,group_zv42z01-Wie_viele_Personen_g_elchen_Altersgruppen,group_zv42z01/Wie_viele_Personen_g_elchen_Altersgruppen,Wie_viele_Personen_g_elchen_Altersgruppen,Wie viele Personen gehören zu welchen Altersgruppen?,FALSE,NA,NA,NA,NA,NA,,NA
group_gm4ww03,begin_kobomatrix,vj9jr63,group_zv42z01-group_gm4ww03,group_zv42z01/group_gm4ww03,group_gm4ww03,Alter:,NA,NA,NA,false,field-list,matrix_rw26u38,,NA
mitarbeitende,text,nl0qs30,group_zv42z01-mitarbeitende,group_zv42z01/mitarbeitende,mitarbeitende_001,Mitarbeitende (inkl. Leitung),FALSE,NA,NA,NA,w1,NA,,mitarbeitende
teilnehmende,text,vt0qj93,group_zv42z01-teilnehmende,group_zv42z01/teilnehmende,teilnehmende_001,Teilnehmende,FALSE,NA,NA,NA,w1,NA,,teilnehmende
NA,end_kobomatrix,/vj9jr63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
NA,end_group,/rb6ba32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
group_am7wr99,begin_group,zs7zi69,group_am7wr99,group_am7wr99,group_am7wr99,Gewinnung von Teilnehmenden,NA,NA,NA,NA,NA,NA,,NA
F8_TNGewinnung_Probleme,select_one,mdrggsleU,group_am7wr99-F8_TNGewinnung_Probleme,group_am7wr99/F8_TNGewinnung_Probleme,F8_TNGewinnung_Probleme,Gibt es bei euch vor Ort gerade Probleme neue Teilnehmende zu finden?,FALSE,xx6oz98,NA,NA,NA,NA,,NA
F9_TNGewinnung_Massnahmen,select_multiple,RtcMAc3yl,group_am7wr99-F9_TNGewinnung_Massnahmen,group_am7wr99/F9_TNGewinnung_Massnahmen,F9_TNGewinnung_Massnahmen,"Welche Maßnahmen setzt ihr vor Ort ein, um neue Teilnehmende zu finden?",FALSE,sd1mv43,NA,NA,NA,NA,,NA
F9_TNGewinnung_Massnahmen_sons,text,oj9kw18,group_am7wr99-F9_TNGewinnung_Massnahmen_sons,group_am7wr99/F9_TNGewinnung_Massnahmen_sons,F9_TNGewinnung_Massnahmen_sons,Sonstige,FALSE,NA,"selected(${F9_TNGewinnung_Massnahmen}, 'sonstige')",NA,NA,NA,,NA
NA,end_group,/zs7zi69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
F10_Erfolg_TNGewinnungMassnahm,begin_group,jdFfiihPk,F10_Erfolg_TNGewinnungMassnahm,F10_Erfolg_TNGewinnungMassnahm,F10_Erfolg_TNGewinnungMassnahm,,FALSE,NA,NA,NA,field-list,NA,,NA
F10_Erfolg_TNGewinnungMassnahm_header,select_one,PNkwcaC6V,F10_Erfolg_TNGewinnungMassnahm-F10_Erfolg_TNGewinnungMassnahm_header,F10_Erfolg_TNGewinnungMassnahm/F10_Erfolg_TNGewinnungMassnahm_header,F10_Erfolg_TNGewinnungMassnahm_header,Wie erfolgreich sind eure Maßnahmen zu Gewinnung von neuen Teilnehmenden?,FALSE,dq4ul86,NA,NA,label,NA,,NA
insgesamt,select_one,vGWFBw0gE,F10_Erfolg_TNGewinnungMassnahm-insgesamt,F10_Erfolg_TNGewinnungMassnahm/insgesamt,insgesamt,Insgesamt,FALSE,dq4ul86,NA,NA,list-nolabel,NA,,NA
werbung_auftritte,select_one,ZHfEi9qdx,F10_Erfolg_TNGewinnungMassnahm-werbung_auftritte,F10_Erfolg_TNGewinnungMassnahm/werbung_auftritte,werbung_auftritte,Werbung bei unseren Veranstaltungen und Vorführungen,FALSE,dq4ul86,"selected(${F9_TNGewinnung_Massnahmen}, 'werbung_auftritte')",NA,list-nolabel,NA,,NA
werbung_kirche,select_one,vGWFBw0gE,F10_Erfolg_TNGewinnungMassnahm-werbung_kirche,F10_Erfolg_TNGewinnungMassnahm/werbung_kirche,werbung_kirche,Werbung bei Veranstaltungen der Kirchengemeinde,FALSE,dq4ul86,"selected(${F9_TNGewinnung_Massnahmen}, 'werbung_kirche')",NA,list-nolabel,NA,,NA
schulprojekte,select_one,tt4ls7DwJ,F10_Erfolg_TNGewinnungMassnahm-schulprojekte,F10_Erfolg_TNGewinnungMassnahm/schulprojekte,schulprojekte,Schulprojekte (z. B. Projektwochen),FALSE,dq4ul86,"selected(${F9_TNGewinnung_Massnahmen}, 'schulprojekte')",NA,list-nolabel,NA,,NA
schnupperproben,select_one,cKxQgbRgs,F10_Erfolg_TNGewinnungMassnahm-schnupperproben,F10_Erfolg_TNGewinnungMassnahm/schnupperproben,schnupperproben,Schnupperproben,FALSE,dq4ul86,"selected(${F9_TNGewinnung_Massnahmen}, 'schnupperproben')",NA,list-nolabel,NA,,NA
social_media,select_one,SWbu0rQvv,F10_Erfolg_TNGewinnungMassnahm-social_media,F10_Erfolg_TNGewinnungMassnahm/social_media,social_media,Werbung auf Social Media,FALSE,dq4ul86,"selected(${F9_TNGewinnung_Massnahmen}, 'social_media')",NA,list-nolabel,NA,,NA
freunde_und_bekannte_ansprechen,select_one,nMHzjrltb,F10_Erfolg_TNGewinnungMassnahm-freunde_und_bekannte_ansprechen,F10_Erfolg_TNGewinnungMassnahm/freunde_und_bekannte_ansprechen,freunde_und_bekannte_ansprechen,Freunde und Bekannte ansprechen,FALSE,dq4ul86,"selected(${F9_TNGewinnung_Massnahmen}, 'freunde_und_bekannte')",NA,list-nolabel,NA,,NA
sonstige,select_one,DGNu9hAAh,F10_Erfolg_TNGewinnungMassnahm-sonstige,F10_Erfolg_TNGewinnungMassnahm/sonstige,sonstige,Sonstige,FALSE,dq4ul86,"selected(${F9_TNGewinnung_Massnahmen}, 'sonstige')",NA,list-nolabel,NA,,NA
NA,end_group,/jdFfiihPk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
F11_Unterstuetzungsbedarfe,begin_group,oXMOtvp8d,F11_Unterstuetzungsbedarfe,F11_Unterstuetzungsbedarfe,F11_Unterstuetzungsbedarfe,Bei welchen Themen würdet ihr gern Unterstützung oder Begleitung nutzen?,FALSE,NA,NA,NA,field-list,NA,,NA
F11_Unterstuetzungsbedarfe_header,select_one,tGCcotXan,F11_Unterstuetzungsbedarfe-F11_Unterstuetzungsbedarfe_header,F11_Unterstuetzungsbedarfe/F11_Unterstuetzungsbedarfe_header,F11_Unterstuetzungsbedarfe_header,Hier aufgeführt sind die meist genannten Bedarfe:,FALSE,qq0kz18,NA,NA,label,NA,,NA
deutschlandweite_Seminare_Workshops,select_one,1lVXeB7zz,F11_Unterstuetzungsbedarfe-deutschlandweite_Seminare_Workshops,F11_Unterstuetzungsbedarfe/deutschlandweite_Seminare_Workshops,deutschlandweite_Seminare_Workshops,Angebot von  deutschlandweiten Seminaren / Workshops,FALSE,qq0kz18,NA,NA,list-nolabel,NA,,NA
Oeffentlichkeitsarbeit_Social_Media,select_one,MWMppURcj,F11_Unterstuetzungsbedarfe-Oeffentlichkeitsarbeit_Social_Media,F11_Unterstuetzungsbedarfe/Oeffentlichkeitsarbeit_Social_Media,Oeffentlichkeitsarbeit_Social_Media,Öffentlichkeitsarbeit / Social Media,FALSE,qq0kz18,NA,NA,list-nolabel,NA,,NA
