name,type,$kuid,col_name,$autoname,label,$qpath,required,select_from_list_name,relevant,hint,_isRepeat,appearance,kobo--matrix_list,$given_name,choice_filter
F4_Hauptamt,select_one,vzP05uCHI,block_activities/F4_Hauptamt,F4_Hauptamt,"Gibt es bei euch vor Ort eine:n hauptberufliche:n Mitarbeiter:in, der für TEN SING zuständig ist?",group_ty7hp15-F4_Hauptamt,FALSE,ra07e45,NA,,NA,NA,NA,NA,NA
Hauptamt_Wochenstunden,decimal,xp0kf22,block_activities/Hauptamt_Wochenstunden,Hauptamt_Wochenstunden,Wie viele Stunden hat (/haben) die Person(en) insgesamt pro Woche für eure TEN SING Gruppe?,group_ty7hp15-Hauptamt_Wochenstunden,FALSE,NA,${F4_Hauptamt} = 'Ja_Vollzeit',,NA,NA,NA,NA,NA
NA,end_group,/wb1fs44,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
block_aktive,begin_group,ey4ol61,block_aktive,block_aktive,Wie viele Personen waren bei euch vor Ort durchschnittlich im letzten Schuljahr aktiv?,group_jx3lf36,FALSE,NA,NA,,NA,NA,NA,NA,NA
NA,decimal,rs3ae38,block_aktive/Mitarbeitende_inkl_Leitung,Mitarbeitende_inkl_Leitung,Mitarbeitende (inkl. Leitung):,group_jx3lf36-Mitarbeitende_inkl_Leitung,FALSE,NA,NA,,NA,NA,NA,NA,NA
NA,decimal,nc7hl05,block_aktive/Teilnehmende_002,Teilnehmende_002,Teilnehmende:,group_jx3lf36-Teilnehmende_002,FALSE,NA,NA,,NA,NA,NA,NA,NA
NA,end_group,/ey4ol61,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
block_aktive_details,begin_group,rb6ba32,block_aktive_details,block_aktive_details,Bitte macht nachfolgend zu den Personen in der Leitung und den Teilnehmenden nähere Angaben (es reichen auch ungefähre Angaben):,group_zv42z01,FALSE,NA,NA,,NA,NA,NA,NA,NA
identifikation,note,xb7kk36,block_aktive_details/identifikation,identifikation,Wie viele Personen identifizieren sich als:,group_zv42z01-Wie_viele_Personen_i_ntifizieren_sich_als,FALSE,NA,NA,,NA,NA,NA,NA,NA
block_gender,begin_kobomatrix,tq09y40,block_aktive_details/block_gender,block_gender,Geschlecht:,group_zv42z01-group_fq52x56,FALSE,NA,NA,,false,field-list,matrix_sv3gv00,NA,NA
mitarbeitende,integer,cu2fq02,block_aktive_details/mitarbeitende,mitarbeitende,Mitarbeitende (inkl. Leitung),group_zv42z01-mitarbeitende,FALSE,NA,NA,,NA,w1,NA,NA,NA
teilnehmende,integer,rn3vz48,block_aktive_details/teilnehmende,teilnehmende,Teilnehmende,group_zv42z01-teilnehmende,FALSE,NA,NA,,NA,w1,NA,NA,NA
NA,end_kobomatrix,/tq09y40,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
NA,note,eg6ne18,block_aktive_details/Wie_viele_Personen_g_elchen_Altersgruppen,Wie_viele_Personen_g_elchen_Altersgruppen,Wie viele Personen gehören zu welchen Altersgruppen?,group_zv42z01-Wie_viele_Personen_g_elchen_Altersgruppen,FALSE,NA,NA,,NA,NA,NA,NA,NA
group_gm4ww03,begin_kobomatrix,vj9jr63,block_aktive_details/group_gm4ww03,group_gm4ww03,Alter:,group_zv42z01-group_gm4ww03,FALSE,NA,NA,,false,field-list,matrix_rw26u38,NA,NA
mitarbeitende,integer,nl0qs30,block_aktive_details/mitarbeitende,mitarbeitende_001,Mitarbeitende (inkl. Leitung),group_zv42z01-mitarbeitende,FALSE,NA,NA,,NA,w1,NA,mitarbeitende,NA
teilnehmende,integer,vt0qj93,block_aktive_details/teilnehmende,teilnehmende_001,Teilnehmende,group_zv42z01-teilnehmende,FALSE,NA,NA,,NA,w1,NA,teilnehmende,NA
NA,end_kobomatrix,/vj9jr63,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
NA,end_group,/rb6ba32,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
block_tngewinnung,begin_group,zs7zi69,block_tngewinnung,block_tngewinnung,Gewinnung von Teilnehmenden,group_am7wr99,FALSE,NA,NA,,NA,NA,NA,NA,NA
tngewinnung_probleme,select_one,mdrggsleU,block_tngewinnung/tngewinnung_probleme,tngewinnung_probleme,Gibt es bei euch vor Ort gerade Probleme neue Teilnehmende zu finden?,group_am7wr99-F8_TNGewinnung_Probleme,FALSE,xx6oz98,NA,,NA,NA,NA,NA,NA
